ativo,estrategia,pct_pl,cm_key
TAG PRIVATE EQUITY FI MULT CRED PRIV IE,ALT PRIVATE EQUITY,4.18,tag_pe
TAG VENTURES FI MULT CRED PRIV INV EXT,ALT VENTURE CAPITAL,2.77,tag_ventures
LC III FIDC RESP LTDA - SENIOR,ALTERNATIVOS PRECATÓRIOS,2.22,lc_iii
NTN-B IPCA+6%,RF TPF NTNB OU TESOURO INFLAÇÃO,9.50,ntnb
BOVA11,RV ETFs INDEXADOS BOVESPA,7.30,bova11
REGILO FUNDO DE INVESTIMENTO EM ACOES,RV FUNDOS CLUB DEAL,6.95,regio
ALGIDO FIA - RESP LTDA,RV FUNDOS CLUB DEAL,1.01,algido
NORTE LONG BIAS FC FIA,RV FUNDOS LONG BIAS,7.81,
SHARP LONG BIASED TB FIC FIA,RV FUNDOS LONG BIAS,7.35,
TARPON GT INSTITUCIONAL FC FIA - RESP LTDA,RV FUNDOS SMALL CAPS,4.78,tarpon
KIRON FC FI EM ACOES,RV FUNDOS VALOR,10.83,kiron
REAL INVESTOR FC FIA - BDR NIVEL I,RV FUNDOS VALOR,5.53,real_investor
TB ATMOS FIC FIA RESP LIMIT,RV FUNDOS VALOR,16.95,atmos
CDI,CAIXA,12.80,cdi_cash
