Date,Entradas,Saidas,Patrimonio,QtdCotas,CotaFechamento,CotaRendimento
2014-02-28,0.0,0.0,9160887.44,9160887.44,1.0,1.0
2014-03-05,0.0,0.0,9160353.45,9160887.44,0.99994171,0.99994171
2014-03-06,0.0,0.0,9195999.01,9160887.44,1.00383277,1.00383277
2014-03-07,0.0,0.0,9120585.4,9160887.44,0.99560064,0.99560064
2014-03-10,0.0,0.0,9036682.48,9160887.44,0.98644182,0.98644182
2014-03-11,0.0,0.0,9057321.87,9160887.44,0.98869481,0.98869481
2014-03-12,0.0,0.0,9046928.84,9160887.44,0.98756031,0.98756031
2014-03-13,0.0,0.0,9003859.75,9160887.44,0.9828589,0.9828589
2014-03-14,0.0,0.0,8954228.35,9160887.44,0.97744115,0.97744115
2014-03-17,0.0,0.0,8956215.99,9160887.44,0.97765812,0.97765812
2014-03-18,0.0,0.0,9059597.43,9160887.44,0.98894321,0.98894321
2014-03-19,0.0,0.0,9069694.65,9160887.44,0.99004542,0.99004542
2014-03-20,0.0,0.0,9109664.89,9160887.44,0.99440856,0.99440856
2014-03-21,0.0,0.0,9126316.27,9160887.44,0.99622622,0.99622622
2014-03-24,0.0,0.0,9153537.48,9160887.44,0.99919768,0.99919768
2014-03-25,0.0,0.0,9152564.77,9160887.44,0.9990915,0.9990915
2014-03-26,0.0,0.0,9130695.9,9160887.44,0.9967043,0.9967043
2014-03-27,0.0,0.0,9242041.54,9160887.44,1.00885876,1.00885876
2014-03-28,0.0,0.0,9253892.43,9160887.44,1.0101524,1.0101524
2014-03-31,0.0,0.0,9318373.08,9160887.44,1.01719109,1.01719109
2014-04-01,0.0,0.0,9313786.32,9160887.44,1.0166904,1.0166904
2014-04-02,0.0,0.0,9428704.7,9160887.44,1.02923486,1.02923486
2014-04-03,0.0,0.0,9414413.53,9160887.44,1.02767484,1.02767484
2014-04-04,0.0,0.0,9375280.15,9160887.44,1.02340305,1.02340305
2014-04-07,0.0,0.0,9391008.47,9160887.44,1.02511995,1.02511995
2014-04-08,0.0,0.0,9358023.51,9160887.44,1.02151932,1.02151932
2014-04-09,0.0,0.0,9341688.46,9160887.44,1.01973619,1.01973619
2014-04-10,0.0,0.0,9325844.88,9160887.44,1.01800671,1.01800671
2014-04-11,0.0,0.0,9388336.98,9160887.44,1.02482833,1.02482833
2014-04-14,0.0,0.0,9394430.16,9160887.44,1.02549346,1.02549346
2014-04-15,0.0,0.0,9324350.93,9160887.44,1.01784363,1.01784363
2014-04-16,0.0,0.0,9402314.57,9160887.44,1.02635412,1.02635412
2014-04-17,0.0,0.0,9461279.63,9160887.44,1.03279073,1.03279073
2014-04-22,0.0,0.0,9440523.16,9160887.44,1.03052496,1.03052496
2014-04-23,0.0,0.0,9380104.54,9160887.44,1.02392968,1.02392968
2014-04-24,0.0,0.0,9883660.25,9649017.18863602,1.02431782,1.02431782
2014-04-25,0.0,0.0,9846223.99,9649017.18863602,1.02043802,1.02043802
2014-04-28,0.0,0.0,9834698.82,9649017.18863602,1.01924358,1.01924358
2014-04-29,0.0,0.0,9890516.84,9649017.18863602,1.02502842,1.02502842
2014-04-30,0.0,0.0,9908215.55,9649017.18863602,1.02686267,1.02686267
2014-05-02,0.0,0.0,9987221.71,9649017.18863602,1.03505067,1.03505067
2014-05-05,0.0,0.0,10039317.71,9649017.18863602,1.04044977,1.04044977
2014-05-06,0.0,0.0,10056146.66,9649017.18863602,1.04219388,1.04219388
2014-05-07,0.0,0.0,10092865.51,9649017.18863602,1.04599933,1.04599933
2014-05-08,0.0,0.0,10060858.86,9649017.18863602,1.04268224,1.04268224
2014-05-09,0.0,0.0,10065536.7,9649017.18863602,1.04316704,1.04316704
2014-05-12,0.0,0.0,10129216.74,9649017.18863602,1.04976668,1.04976668
2014-05-13,0.0,0.0,10144339.93,9649017.18863602,1.05133401,1.05133401
2014-05-14,0.0,0.0,10167606.22,9649017.18863602,1.05374527,1.05374527
2014-05-15,0.0,0.0,10140741.81,9649017.18863602,1.05096111,1.05096111
2014-05-16,0.0,0.0,10132642.04,9649017.18863602,1.05012167,1.05012167
2014-05-19,0.0,0.0,10097856.08,9649017.18863602,1.04651654,1.04651654
2014-05-20,0.0,0.0,10030609.67,9649017.18863602,1.03954729,1.03954729
2014-05-21,0.0,0.0,10017550.21,9649017.18863602,1.03819384,1.03819384
2014-05-22,0.0,0.0,10084318.99,9649017.18863602,1.04511359,1.04511359
2014-05-23,0.0,0.0,10068146.95,9649017.18863602,1.04343756,1.04343756
2014-05-26,0.0,0.0,10092996.07,9649017.18863602,1.04601286,1.04601286
2014-05-27,0.0,0.0,10051763.21,9649017.18863602,1.04173959,1.04173959
2014-05-28,0.0,0.0,10074878.69,9649017.18863602,1.04413522,1.04413522
2014-05-29,0.0,0.0,10046089.68,9649017.18863602,1.0411516,1.0411516
2014-05-30,0.0,0.0,9996925.91,9633989.07581731,1.03767254,1.03767254
