Date,Entradas,Saidas,Patrimonio,QtdCotas,CotaFechamento,CotaRendimento
2009-03-19,0.0,0,1060944.63,1061178.45716991,0.99977965,0.99977965
2009-03-20,0.0,0,1053286.3,1061178.45716991,0.99256284,0.99256284
2009-03-23,0.0,0,1079948.04,1061178.45716991,1.01768749,1.01768749
2009-03-24,0.0,0,1072423.95,1061178.45716991,1.01059717,1.01059717
2009-03-25,0.0,0,1075296.36,1061178.45716991,1.01330399,1.01330399
2009-03-26,0.0,0,1181437.71,1155032.88193309,1.02286067,1.02286067
2009-03-27,0.0,0,1283804.53,1260053.31244319,1.01884938,1.01884938
2009-03-30,0.0,0,1265462.16,1260053.31244319,1.00429255,1.00429255
2009-03-31,0.0,0,1274017.95,1260053.31244319,1.01108258,1.01108258
2009-04-01,0.0,0,1295455.64,1260053.31244319,1.0280959,1.0280959
2009-04-02,0.0,0,1328591.17,1260053.31244319,1.05439282,1.05439282
2009-04-03,0.0,0,1342287.91,1260053.31244319,1.06526279,1.06526279
2009-04-06,0.0,0,1339408.09,1260053.31244319,1.06297732,1.06297732
2009-04-07,0.0,0,1336544.5,1260053.31244319,1.06070472,1.06070472
2009-04-08,0.0,0,1395768.92,1306868.6792464,1.06802538,1.06802538
2009-04-09,0.0,0,1659878.69,1527766.7638701901,1.08647388,1.08647388
2009-04-13,0.0,0,1749152.56,1600990.35291685,1.0925441,1.0925441
2009-04-14,0.0,0,1736976.64,1600990.35291685,1.08493885,1.08493885
2009-04-15,0.0,0,1738663.76,1600990.35291685,1.08599265,1.08599265
2009-04-16,0.0,0,1764432.29,1600990.35291685,1.10208802,1.10208802
2009-04-17,0.0,0,1759794.86,1600990.35291685,1.09919142,1.09919142
2009-04-20,0.0,0,1727905.67,1600990.35291685,1.07927301,1.07927301
2009-04-22,0.0,0,1741834.14,1600990.35291685,1.08797291,1.08797291
2009-04-23,0.0,0,1766813.69,1600990.35291685,1.10357548,1.10357548
2009-04-24,0.0,0,1794086.64,1600990.35291685,1.12061053,1.12061053
2009-04-27,0.0,0,1771061.02,1600990.35291685,1.10622841,1.10622841
2009-04-28,0.0,0,1779668.51,1600990.35291685,1.11160477,1.11160477
2009-04-29,0.0,0,1869983.14,1644974.0118236202,1.13678583,1.13678583
2009-04-30,0.0,0,2024432.54,1776611.7723234198,1.13949067,1.13949067
2009-05-04,0.0,0,2103713.49,1776611.7723234198,1.18411547,1.18411547
2009-05-05,0.0,0,2103669.05,1776611.7723234198,1.18409046,1.18409046
2009-05-06,0.0,0,2125975.4,1776611.7723234198,1.19664602,1.19664602
2009-05-07,0.0,0,2088751.7,1776611.7723234198,1.17569394,1.17569394
2009-05-08,0.0,0,2127987.01,1776611.7723234198,1.19777829,1.19777829
2009-05-11,0.0,0,2115340.3,1776611.7723234198,1.19065985,1.19065985
2009-05-12,0.0,0,2106737.96,1776611.7723234198,1.18581785,1.18581785
2009-05-13,0.0,0,2169420.14,1871506.10260591,1.15918411,1.15918411
2009-05-14,0.0,0,2190458.44,1871506.10260591,1.17042549,1.17042549
2009-05-15,0.0,0,2183517.6,1871506.10260591,1.16671679,1.16671679
2009-05-18,0.0,0,2252417.3,1871506.10260591,1.2035319,1.2035319
2009-05-19,0.0,0,2246290.09,1871506.10260591,1.20025796,1.20025796
2009-05-20,0.0,0,2244039.64,1871506.10260591,1.19905548,1.19905548
2009-05-21,0.0,0,2207912.83,1871506.10260591,1.17975187,1.17975187
2009-05-22,0.0,0,2220004.77,1871506.10260591,1.18621295,1.18621295
2009-05-25,0.0,0,2233382.25,1871506.10260591,1.19336092,1.19336092
2009-05-26,0.0,0,2260457.13,1871506.10260591,1.20782782,1.20782782
2009-05-27,0.0,0,2260044.49,1871506.10260591,1.20760733,1.20760733
2009-05-28,0.0,0,2288158.26,1871506.10260591,1.22262933,1.22262933
2009-05-29,0.0,0,2298299.66,1871506.10260591,1.22804818,1.22804818
2009-06-01,0.0,0,2334378.02,1871506.10260591,1.24732589,1.24732589
2009-06-02,0.0,0,2329579.57,1871506.10260591,1.24476194,1.24476194
2009-06-03,0.0,0,2275319.49,1871506.10260591,1.21576921,1.21576921
2009-06-04,0.0,0,2316293.47,1871506.10260591,1.23766279,1.23766279
2009-06-05,0.0,0,2314736.45,1871506.10260591,1.23683083,1.23683083
2009-06-08,0.0,0,2324368.85,1871506.10260591,1.2419777,1.2419777
2009-06-09,0.0,0,2312620.81,1871506.10260591,1.23570038,1.23570038
2009-06-10,0.0,0,2317631.73,1871506.10260591,1.23837786,1.23837786
2009-06-12,0.0,0,2330877.22,1871506.10260591,1.24545531,1.24545531
2009-06-15,0.0,0,2282989.55,1871506.10260591,1.21986754,1.21986754
2009-06-16,0.0,0,2260612.83,1871506.10260591,1.20791101,1.20791101
2009-06-17,0.0,0,2256458.42,1871506.10260591,1.20569119,1.20569119
2009-06-18,0.0,0,2250549.11,1871506.10260591,1.20253367,1.20253367
2009-06-19,0.0,0,2273166.58,1871506.10260591,1.21461884,1.21461884
2009-06-22,0.0,0,2226643.98,1871506.10260591,1.18976047,1.18976047
2009-06-23,0.0,0,2237096.22,1871506.10260591,1.1953454,1.1953454
2009-06-24,0.0,0,2241270.86,1871506.10260591,1.19757604,1.19757604
2009-06-25,0.0,0,2284454.06,1871506.10260591,1.22065007,1.22065007
2009-06-26,0.0,0,2284664.74,1871506.10260591,1.22076265,1.22076265
2009-06-29,0.0,0,2203952.98,1790740.20087645,1.23074971,1.23074971
2009-06-30,0.0,0,2193552.32,1790740.20087645,1.22494169,1.22494169
2009-07-01,0.0,0,2203170.76,1790740.20087645,1.23031289,1.23031289
2009-07-02,0.0,0,2195918.74,1790740.20087645,1.22626316,1.22626316
2009-07-03,0.0,0,2203283.71,1790740.20087645,1.23037597,1.23037597
2009-07-06,0.0,0,2199883.56,1790740.20087645,1.22847723,1.22847723
2009-07-07,0.0,0,2449921.02,2017998.91497196,1.21403485,1.21403485
2009-07-08,0.0,0,2443006.95,2017998.91497196,1.21060865,1.21060865
2009-07-09,0.0,0,2442874.64,2017998.91497196,1.21054309,1.21054309
2009-07-10,0.0,0,2440049.37,2017998.91497196,1.20914305,1.20914305
2009-07-13,0.0,0,2434058.31,2017998.91497196,1.20617424,1.20617424
2009-07-14,0.0,0,2418774.5,2017998.91497196,1.1986005,1.1986005
2009-07-15,0.0,0,2491776.88,2017998.91497196,1.23477612,1.23477612
2009-07-16,0.0,0,2512566.39,2017998.91497196,1.24507817,1.24507817
2009-07-17,0.0,0,2518212.32,2017998.91497196,1.24787595,1.24787595
2009-07-20,0.0,0,2562433.27,2017998.91497196,1.26978922,1.26978922
2009-07-21,0.0,0,2566710.74,2017998.91497196,1.27190888,1.27190888
2009-07-22,0.0,0,2560073.02,2017998.91497196,1.26861962,1.26861962
2009-07-23,0.0,0,2601586.13,2017998.91497196,1.28919104,1.28919104
2009-07-24,0.0,0,2615753.28,2017998.91497196,1.29621144,1.29621144
2009-07-27,0.0,0,2627398.05,2017998.91497196,1.30198189,1.30198189
2009-07-28,0.0,0,2635202.75,2017998.91497196,1.30584944,1.30584944
2009-07-29,0.0,0,2624517.02,2017998.91497196,1.30055423,1.30055423
2009-07-30,0.0,0,2659535.81,2017998.91497196,1.31790745,1.31790745
2009-07-31,0.0,0,2684008.57,2017998.91497196,1.33003469,1.33003469
2009-08-03,0.0,0,2728783.24,2017998.91497196,1.35222235,1.35222235
2009-08-04,0.0,0,2738539.76,2017998.91497196,1.3570571,1.3570571
2009-08-05,0.0,0,2760062.16,2017998.91497196,1.36772232,1.36772232
2009-08-06,0.0,0,2743047.57,2017998.91497196,1.3592909,1.3592909
2009-08-07,0.0,0,2766740.65,2017998.91497196,1.37103178,1.37103178
2009-08-10,0.0,0,2787706.23,2017998.91497196,1.38142107,1.38142107
2009-08-11,0.0,0,2746592.52,2017998.91497196,1.36104757,1.36104757
2009-08-12,0.0,0,2769522.62,2017998.91497196,1.37241036,1.37241036
2009-08-13,0.0,0,2770995.13,2017998.91497196,1.37314005,1.37314005
2009-08-14,0.0,0,2754216.34,2017998.91497196,1.36482548,1.36482548
2009-08-17,0.0,0,2699765.47,2017998.91497196,1.33784287,1.33784287
2009-08-18,0.0,0,2729743.3,2017998.91497196,1.3526981,1.3526981
2009-08-19,0.0,0,2744224.69,2017998.91497196,1.35987421,1.35987421
2009-08-20,0.0,0,2763384.82,2017998.91497196,1.36936883,1.36936883
